State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny Theft,Motor Vehicle Theft,Arson
ARIZONA,CHANDLER,2018,255986,287.0,1.0,74.0,62.0,150.0,2771.0,369.0,2241.0,161.0,8.0
ARIZONA,PHOENIX,2019,1653080,5659.0,70.0,550.0,1564.0,3475.0,28196.0,4901.0,19877.0,3418.0,104.0
ARIZONA,GILBERT,2018,247463,132.0,1.0,49.0,15.0,67.0,1705.0,214.0,1409.0,82.0,5.0
ARIZONA,GILBERT,2019,247463,116.0,0.0,27.0,21.0,68.0,1416.0,185.0,1167.0,64.0,6.0
ARIZONA,GLENDALE,2018,249799,594.0,7.0,69.0,171.0,347.0,4830.0,756.0,3581.0,493.0,34.0
ARIZONA,MESA,2018,504873,967.0,10.0,143.0,192.0,622.0,5113.0,751.0,3901.0,461.0,7.0
ARIZONA,MESA,2019,504873,969.0,4.0,133.0,177.0,655.0,4813.0,722.0,3692.0,399.0,11.0
ARIZONA,PEORIA,2018,170177,201.0,2.0,33.0,29.0,137.0,1596.0,281.0,1224.0,91.0,4.0
ARIZONA,PEORIA,2019,170177,219.0,1.0,49.0,52.0,117.0,1696.0,229.0,1351.0,116.0,5.0
ARIZONA,TUCSON,2019,537392,1936.0,27.0,264.0,560.0,1085.0,9809.0,1302.0,7402.0,1105.0,76.0
ARIZONA,CHANDLER,2019,255986,295.0,2.0,63.0,55.0,175.0,2511.0,281.0,2076.0,154.0,9.0
ARIZONA,SCOTTSDALE,2018,254961,211.0,7.0,53.0,52.0,99.0,2853.0,350.0,2362.0,141.0,7.0
ARIZONA,SCOTTSDALE,2019,254961,200.0,3.0,59.0,52.0,86.0,2797.0,365.0,2301.0,131.0,11.0
ARIZONA,SURPRISE,2018,136611,67.0,3.0,10.0,20.0,34.0,1088.0,138.0,860.0,90.0,3.0
ARIZONA,SURPRISE,2019,136611,83.0,2.0,15.0,32.0,34.0,1052.0,108.0,872.0,72.0,7.0
ARIZONA,TEMPE,2018,188543,448.0,3.0,75.0,97.0,273.0,3567.0,456.0,2841.0,270.0,3.0
ARIZONA,TEMPE,2019,188543,430.0,3.0,66.0,103.0,258.0,3690.0,442.0,2952.0,296.0,8.0
ARIZONA,TUCSON,2018,537392,2027.0,26.0,255.0,670.0,1076.0,13925.0,1690.0,10959.0,1276.0,92.0
ARIZONA,PHOENIX,2018,1653080,6118.0,67.0,566.0,1438.0,4047.0,28854.0,5465.0,19461.0,3928.0,140.0
ARKANSAS,LITTLE ROCK,2018,199288,1336.0,19.0,121.0,150.0,1046.0,6236.0,1068.0,4643.0,525.0,24.0
ARKANSAS,LITTLE ROCK,2019,199288,1464.0,20.0,105.0,170.0,1169.0,5494.0,817.0,4180.0,497.0,27.0
CALIFORNIA,ANAHEIM,2019,354743,497.0,6.0,49.0,174.0,268.0,4164.0,538.0,3009.0,617.0,16.0
CALIFORNIA,ANTIOCH,2018,112956,283.0,1.0,24.0,102.0,156.0,1479.0,278.0,910.0,291.0,28.0
CALIFORNIA,ANTIOCH,2019,112956,290.0,5.0,28.0,108.0,149.0,1634.0,278.0,1020.0,336.0,31.0
